video_name,detector,reduction_percentage,fps,continuity_score,rank_reduction,rank_fps,rank_continuity,composite_score,final_video_rank
s_12.avi,MOG2,0.0,136.9829,0.9999,3,3,1,7.0,2
s_12.avi,Frame Difference,0.6707,337.7775,0.9982,1,2,5,8.0,3
s_12.avi,KNN,0.0,95.1175,0.9999,3,4,1,8.0,4
s_12.avi,GMM,0.2076,59.4658,0.9998,2,5,4,11.0,5
s_15.avi,Baseline,0.0,518.7825,0.9999,3,1,1,5.0,1
s_15.avi,MOG2,0.0,139.3016,0.9999,3,3,1,7.0,2
s_15.avi,Frame Difference,0.3114,282.162,0.9992,1,2,5,8.0,3
s_15.avi,GMM,0.008,36.2928,0.9999,2,5,1,8.0,4
s_15.avi,KNN,0.0,76.5593,0.9999,3,4,1,8.0,5
s_18.avi,Baseline,0.0,251.9576,0.9999,3,1,1,5.0,1
s_18.avi,MOG2,0.0,66.6906,0.9999,3,3,1,7.0,2
s_18.avi,Frame Difference,31.3214,142.7572,0.9844,1,2,5,8.0,3
s_18.avi,KNN,0.0,47.1714,0.9999,3,4,1,8.0,4
s_18.avi,GMM,1.7884,28.7495,0.999,2,5,4,11.0,5
s_20.avi,Baseline,0.0,245.7905,0.9999,5,1,1,7.0,1
s_20.avi,Frame Difference,67.441,146.9122,0.9753,1,2,5,8.0,2
s_20.avi,MOG2,23.0742,71.2736,0.997,3,3,3,9.0,3
s_20.avi,KNN,12.9491,61.9036,0.9973,4,4,2,10.0,4
s_20.avi,GMM,37.3217,29.3959,0.9961,2,5,4,11.0,5
s_23.avi,Baseline,0.0,98.0702,0.9999,3,1,1,5.0,1
s_23.avi,MOG2,0.0,22.6478,0.9999,3,3,1,7.0,2
s_23.avi,Frame Difference,1.651,49.5366,0.9995,1,2,5,8.0,3
s_23.avi,GMM,0.0134,11.1738,0.9999,2,5,1,8.0,4
s_23.avi,KNN,0.0,12.2384,0.9999,3,4,1,8.0,5
s_24.avi,Baseline,0.0,100.0429,0.9999,3,1,1,5.0,1
s_24.avi,MOG2,0.0,22.714,0.9999,3,3,1,7.0,2
s_24.avi,Frame Difference,0.0233,53.2705,0.9998,1,2,5,8.0,3
s_24.avi,GMM,0.0078,11.4629,0.9999,2,5,1,8.0,4
s_24.avi,KNN,0.0,12.3726,0.9999,3,4,1,8.0,5
