sample_id,roi_id,interaction_id,frame_index,timestamp,track_id,backend_name,topology,num_keypoints,overall_confidence,quality_score,processing_time_ms
SMP-INT-0002-92,ROI-INT-0002,INT-0002,92,3.07,10002,MediaPipe,COCO_17,17,0.5,0.5,11.4
SMP-INT-0001-93,ROI-INT-0001,INT-0001,93,3.103,10003,MediaPipe,COCO_17,17,0.8726,0.8726,27.4
SMP-INT-0002-93,ROI-INT-0002,INT-0002,93,3.103,10002,MediaPipe,COCO_17,17,0.5,0.5,12.12
SMP-INT-0001-94,ROI-INT-0001,INT-0001,94,3.136,10003,MediaPipe,COCO_17,17,0.5,0.5,25.73
SMP-INT-0002-94,ROI-INT-0002,INT-0002,94,3.136,10002,MediaPipe,COCO_17,17,0.5,0.5,11.41
SMP-INT-0001-95,ROI-INT-0001,INT-0001,95,3.17,10003,MediaPipe,COCO_17,17,0.9488,0.9488,26.66
SMP-INT-0002-95,ROI-INT-0002,INT-0002,95,3.17,10002,MediaPipe,COCO_17,17,0.5,0.5,10.95
SMP-INT-0001-96,ROI-INT-0001,INT-0001,96,3.203,10003,MediaPipe,COCO_17,17,0.9159,0.9159,26.49
SMP-INT-0002-96,ROI-INT-0002,INT-0002,96,3.203,10002,MediaPipe,COCO_17,17,0.5,0.5,12.22
SMP-INT-0001-97,ROI-INT-0001,INT-0001,97,3.237,10003,MediaPipe,COCO_17,17,0.9123,0.9123,25.34
SMP-INT-0002-97,ROI-INT-0002,INT-0002,97,3.237,10002,MediaPipe,COCO_17,17,0.5,0.5,10.77
SMP-INT-0001-98,ROI-INT-0001,INT-0001,98,3.27,10003,MediaPipe,COCO_17,17,0.8938,0.8938,25.49
SMP-INT-0002-98,ROI-INT-0002,INT-0002,98,3.27,10002,MediaPipe,COCO_17,17,0.5,0.5,10.59
SMP-INT-0001-99,ROI-INT-0001,INT-0001,99,3.303,10003,MediaPipe,COCO_17,17,0.9039,0.9039,26.22
SMP-INT-0002-99,ROI-INT-0002,INT-0002,99,3.303,10002,MediaPipe,COCO_17,17,0.5,0.5,11.97
SMP-INT-0001-101,ROI-INT-0001,INT-0001,101,3.37,10003,MediaPipe,COCO_17,17,0.865,0.865,33.71
SMP-INT-0002-101,ROI-INT-0002,INT-0002,101,3.37,10002,MediaPipe,COCO_17,17,0.5,0.5,11.63
SMP-INT-0001-103,ROI-INT-0001,INT-0001,103,3.437,10003,MediaPipe,COCO_17,17,0.776,0.5934,28.27
